Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Konsta Jukka,40+,2008JUKK01,9.56,12.30,11.38,11.94,8.71,8.71,10.96,https://www.facebook.com/events/343359980546742/permalink/350647106484696,
Enrymar Cisneros,<40,2013CISN01,12.35,13.93,12.61,12.20,12.20,12.20,12.39,https://www.facebook.com/events/343359980546742/permalink/350163353199738,
Ed Connell,<40,2018CONN04,14.68,16.48,16.33,13.50,13.06,13.06,14.84,https://www.facebook.com/events/343359980546742/permalink/350449403171133,
Greg Simmons,<40,,18.62,16.99,15.71,14.99,14.03,14.03,15.90,https://www.facebook.com/events/343359980546742/permalink/348607713355302,
Yi-Wei Chen,40+,,16.93,19.52,16.88,16.69,15.72,15.72,16.83,https://www.facebook.com/events/343359980546742/permalink/348433820039358,
Toby Chamberlain,40+,,19.82,18.13,14.14,18.26,20.42,14.14,18.74,https://www.facebook.com/520891933/videos/1250846438756075,
Chris Looney,<40,,20.71,23.55,19.46,18.47,22.79,18.47,20.99,https://www.facebook.com/chris.looney/videos/633134034472753,
Rodney Gardner,50+,2019GARD02,28.55,21.15,22.54,23.68,19.26,19.26,22.46,https://www.facebook.com/events/343359980546742/permalink/347528313463242,
Pete Lee,<40,2018LEEP04,25.69,25.02,20.81,22.35,17.97,17.97,22.73,https://www.facebook.com/events/343359980546742/permalink/350488709833869,
Daniel Smith,50+,2018SMIT42,25.15,31.99,27.19,38.05,25.24,25.15,28.14,https://www.facebook.com/events/343359980546742/permalink/350516676497739,
Huy Nguyen,40+,2019NGUY29,19.79,27.45,DNF,21.82,38.48,19.79,29.25,https://www.facebook.com/events/343359980546742/permalink/350631213152952,
Chris Thames,<40,2019THAM05,36.40,33.20,31.79,31.45,28.82,28.82,32.15,https://www.facebook.com/events/343359980546742/permalink/345793593636714,
Kerry Go,50+,2019GOKE01,40.37,33.32,25.76,27.31,39.80,25.76,33.48,https://www.facebook.com/events/343359980546742/permalink/345449940337746,
Jae Park,50+,2015PARK24,30.81,40.69,37.63,29.69,32.69,29.69,33.71,https://www.facebook.com/events/343359980546742/permalink/346851736864233,
Mickey Doyle,40+,2021DOYL02,34.80,37.67,44.42,34.37,35.59,34.37,36.02,https://www.facebook.com/events/343359980546742/permalink/350555736493833,
