Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Enrymar Cisneros,<40,2013CISN01,5:45.96,5:25.99,5:40.08,5:25.99,5:37.34,https://www.facebook.com/events/364077578855426/permalink/371890168074167,
Pete Lee,<40,2018LEEP04,6:01.80,5:41.60,6:31.37,5:41.60,6:04.92,https://www.facebook.com/events/364077578855426/permalink/372170078046176,
Yi-Wei Chen,40+,,7:33.21,7:37.00,DNS,7:33.21,DNF,https://www.facebook.com/events/364077578855426/permalink/369833574946493,
