Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Enrymar Cisneros,<40,2013CISN01,53.59,51.09,52.06,54.00,1:06.77,51.09,53.22,https://www.facebook.com/events/364077578855426/permalink/371693138093870,
Konsta Jukka,40+,2008JUKK01,55.37,57.64,59.61,59.12,52.38,52.38,57.38,https://www.facebook.com/events/364077578855426/permalink/372342998028884,
Yi-Wei Chen,40+,,1:06.12,1:06.44,1:03.61,1:05.46,1:06.58,1:03.61,1:06.01,https://www.facebook.com/events/364077578855426/permalink/369832801613237,
Pete Lee,<40,2018LEEP04,52.61,1:15.54,1:04.86,1:15.43,1:10.96,52.61,1:10.42,https://www.facebook.com/events/364077578855426/permalink/372172898045894,
Daniel Smith,50+,2018SMIT42,1:27.35,1:26.87,1:17.40,1:27.24,1:23.90,1:17.40,1:26.00,https://www.facebook.com/events/364077578855426/permalink/372202611376256,
Chris Looney,<40,,1:12.26,1:19.09,1:44.19,1:19.38,DNF,1:12.26,1:27.55,https://www.facebook.com/chris.looney/videos/704903463826517,Last solve was a bad pop that couldn’t be fixed easily.
Greg Simmons,<40,,1:26.54,1:21.68,1:32.36,1:37.70,1:28.71,1:21.68,1:29.20,https://www.facebook.com/events/364077578855426/permalink/369444951652022,
Chris Thames,<40,2019THAM05,1:50.31,1:57.48,1:50.98,DNS,DNS,1:50.31,1:52.92,https://www.facebook.com/events/364077578855426/permalink/367593698503814,
Kerry Go,50+,2019GOKE01,2:23.40,1:44.96,1:44.53,DNS,DNS,1:44.53,1:57.63,https://www.facebook.com/events/364077578855426/permalink/366426501953867,
Mickey Doyle,40+,2021DOYL02,2:15.72,1:55.76,2:09.58,DNS,DNS,1:55.76,2:07.02,https://www.facebook.com/events/364077578855426/permalink/372243174705533,
