Name,Age,WCA ID,Attempted,Solved,Time,Link,Comment
Michael Lee,40+,2023LEEM05,4,3,25:57,https://www.facebook.com/events/1446099522937900/permalink/1452644248950094,
Shen Flindell,50+,2023FLIN02,2,1,8:16,https://www.facebook.com/745394767/videos/983623900029606,
