Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Phil Yu,<40,2010YUPH01,8.73,10.73,9.45,15.53,8.12,8.12,9.64,https://www.facebook.com/events/903549840109576/permalink/904460240018536/,Left my cube at work :S
Michael George,40+,2015GEOR02,14.33,12.00,20.94,14.82,15.04,12.00,14.73,https://www.facebook.com/events/903549840109576/permalink/906656469798913/,
Jeremy Duehring,40+,2016DUEH02,15.79,19.04,15.94,14.22,17.13,14.22,16.29,https://www.facebook.com/jeremy.duehring/videos/10160093525337846/,
Raimon Schaap,<30,,16.93,17.81,19.90,22.30,15.69,15.69,18.21,https://www.facebook.com/events/903549840109576/permalink/907282399736320/,
Andy Nicholls,40+,2015NICH04,22.54,18.29,17.94,18.41,15.97,15.97,18.21,https://www.facebook.com/events/903549840109576/permalink/904345660029994/,
Ed Connell,<40,2018CONN04,20.51,25.08,18.51,15.71,17.95,15.71,18.99,https://www.facebook.com/events/903549840109576/permalink/906639443133949/,What a waste of that 2nd solve :o
Aaron Cumes,40+,2018CUME02,26.80,17.84,19.48,19.51,19.12,17.84,19.37,https://www.facebook.com/events/903549840109576/permalink/903622673435626/,
Geoff Hartnell,40+,2017HART06,19.26,18.61,14.90,23.87,21.90,14.90,19.92,https://www.facebook.com/events/903549840109576/permalink/906470013150892/,
Thierry Boisivon,40+,2011BOIS01,17.68,18.77,19.20,22.70,29.83,17.68,20.22,https://www.facebook.com/events/903549840109576/permalink/908170142980879/,
Pete Lee,<40,2018LEEP04,23.00,20.49,18.14,17.61,23.31,17.61,20.54,https://www.facebook.com/events/903549840109576/permalink/906704453127448/,
Alex Friedman,<40,2016FRIE06,DNF,22.65,17.16,28.87,16.11,16.11,22.89,https://www.facebook.com/events/903549840109576/permalink/907936913004202/,
Isak Majer,<40,,25.96,20.42,22.52,32.10,20.84,20.42,23.10,https://www.facebook.com/isak.majer/videos/3263767253848359/,
Robert Summerfield,50+,,23.92,26.86,25.23,33.39,27.05,23.92,26.38,https://www.facebook.com/events/903549840109576/permalink/907899589674601/,
Lisa Kucala,50+,2019KUCA01,27.02,27.53,29.19,25.40,27.52,25.40,27.36,https://www.facebook.com/events/903549840109576/permalink/908241452973748/,
Chris Thames,<40,2019THAM05,30.25,30.58,46.47,26.69,32.77,26.69,31.20,https://www.facebook.com/events/903549840109576/permalink/906712713126622/,Accidentally scrambled solve #2 with the CSTimer scramble. Corrected untimed and scrambled solve #2 correctly.
Anthony Rochester,40+,2019ROCH03,38.40,20.74,DNF,23.44,33.84,20.74,31.89,https://www.facebook.com/events/903549840109576/permalink/904290700035490/,um this didn't go well?
Joshua Riegel,<30,,51.54,35.30,35.11,32.98,28.59,28.59,34.46,https://www.facebook.com/events/903549840109576/permalink/908169162980977/,
