Name,Age,Solve 1,Solve 2,Solve 3,Best,Average,Link,Comment
Glyn Brown,40+,5:42.39,5:46.28,5:52.02,5:42.39,5:46.90,https://www.facebook.com/events/575948201291091/permalink/582845290601382,
JM Tambaoan,40+,9:58.25,8:46.73,9:46.85,8:46.73,9:30.61,https://www.facebook.com/events/575948201291091/permalink/580694080816503,
